hue,value,chroma,srgb_r,srgb_g,srgb_b,cielab_l,cielab_a,cielab_b
10B,1,1,0.086010233,0.116553205,0.139467909,10.61469335,-1.746436425,-5.148749357
10B,1,2,0.057260646,0.118958796,0.162874982,10.59710782,-2.617086058,-9.6092861
10B,1,3,0.013798066,0.121292821,0.185201481,10.57754017,-3.414969276,-13.83165024
10B,1,4,0,0.123551593,0.206921919,10.97581627,-2.04508023,-17.21168647
10B,1,5,0,0.125764773,0.228478779,11.55798494,0.194785483,-20.21003061
10B,1,6,0,0.128045162,0.250523348,12.17453498,2.482486125,-23.19196486
10B,1,7,0,0.130547859,0.273790138,12.85325932,4.864590026,-26.24149895
10B,1,8,0,0.1332609,0.298376401,13.59536071,7.341466178,-29.36790815
10B,1,9,0,0.136083135,0.324066896,14.38782943,9.893935602,-32.54924997
10B,1,10,0,0.138903258,0.350613658,15.21601818,12.50331641,-35.76317136
10B,2,1,0.171043581,0.197645171,0.218230383,20.52865512,-1.5369288,-4.307066395
10B,2,2,0.145541012,0.200640343,0.242256074,20.51382049,-2.694572316,-8.557198114
10B,2,3,0.11238099,0.20358374,0.266186127,20.49714167,-3.803213563,-12.77155054
10B,2,4,0.061824371,0.206491426,0.29028315,20.47835494,-4.859677644,-16.99150707
10B,2,5,0,0.209377288,0.314777928,20.65641546,-4.844235092,-20.92640999
10B,2,6,0,0.212248234,0.340010516,21.2932333,-2.485342161,-24.19509625
10B,2,7,0,0.215123467,0.3661841,21.96219588,-0.008979947,-27.52689226
10B,2,8,0,0.218049875,0.392541117,22.65539893,2.479862825,-30.8056233
10B,2,9,0,0.221009001,0.417896964,23.34898483,4.840122339,-33.87565652
10B,2,10,0,0.223791205,0.441913391,24.01608647,7.066244516,-36.731147
10B,2,11,0,0.226213372,0.464748038,24.64237128,9.207851363,-39.42780476
10B,2,12,0,0.228541997,0.487371852,25.26674383,11.32494986,-42.06452882
10B,2,13,0,0.231278144,0.511338654,25.95872808,13.49717504,-44.77814876
10B,2,14,0,0.235028607,0.53871563,26.8066782,15.8363724,-47.74784103
10B,3,1,0.257757565,0.288268917,0.310455204,30.74664452,-1.790158931,-4.445272004
10B,3,2,0.227464398,0.292245418,0.338651673,30.73097246,-3.328306944,-9.142557496
10B,3,3,0.192822519,0.295837027,0.36517548,30.71455436,-4.688324501,-13.54534215
10B,3,4,0.150546279,0.299096298,0.390513719,30.6972958,-5.879506697,-17.73326321
10B,3,5,0.090283729,0.302113779,0.415138216,30.67901378,-6.933695315,-21.78439543
10B,3,6,0,0.3050688,0.43972683,30.81222749,-7.142551951,-25.55938217
10B,3,7,0,0.308140964,0.464814475,31.41829159,-4.982510626,-28.61295848
10B,3,8,0,0.311241642,0.489820847,32.03664954,-2.82483388,-31.60424136
